21:38:53.631 [JavaFX App] DEBUG FXGLLoggerFactory    - Service [LoggerFactory] initialized
21:38:53.636 [JavaFX App] INFO  FXGL                 - FXGL configuration complete
21:38:53.636 [JavaFX App] DEBUG FXGL                 - Loading FXGL system data
21:38:53.638 [JavaFX App] DEBUG IOTask               - Executing task: readDataTask(system/fxgl.bundle)
21:38:53.640 [JavaFX App] DEBUG FS                   - Reading from: system\fxgl.bundle
21:38:53.644 [JavaFX App] DEBUG IOTask               - Task succeeded: readDataTask(system/fxgl.bundle)
21:38:53.645 [JavaFX App] DEBUG Bundle               - Logging bundle: FXGL
21:38:53.645 [JavaFX App] DEBUG Bundle               - FXGL.version.check=2016-09-29
21:38:53.647 [JavaFX App] DEBUG GameApplication      - Starting Game Application
21:38:53.658 [JavaFX App] DEBUG FXGLEventBus         - Service [EventBus] initialized
21:38:53.664 [JavaFX App] DEBUG FXGLExecutor         - Service [Executor] initialized
21:38:53.668 [JavaFX App] DEBUG GameWorld            - Game world initialized
21:38:53.720 [JavaFX App] DEBUG PhysicsWorld         - Physics world initialized
21:38:53.739 [JavaFX App] DEBUG GameScene            - Game scene initialized: 900.0x900.0
21:38:53.786 [JavaFX App] DEBUG AssetLoader          - Service [AssetLoader] initialized
21:38:53.787 [JavaFX App] DEBUG AssetLoader          - Loading from disk: /assets/sounds/system/notification.wav
21:38:53.809 [JavaFX App] DEBUG AssetLoader          - Loading from disk: /assets/sounds/menu/select.wav
21:38:53.811 [JavaFX App] DEBUG AssetLoader          - Loading from disk: /assets/sounds/menu/back.wav
21:38:53.813 [JavaFX App] DEBUG AssetLoader          - Loading from disk: /assets/sounds/menu/press.wav
21:38:53.816 [JavaFX App] DEBUG AssetLoader          - Loading from disk: /assets/ui/fonts/Copperplate_Gothic_Light_Regular.ttf
21:38:53.893 [JavaFX App] DEBUG AssetLoader          - Loading from disk: /assets/ui/css/fxgl.css
21:38:53.893 [JavaFX App] DEBUG AssetLoader          - Loading from disk: /assets/ui/icons/fxgl_icon.png
21:38:53.945 [JavaFX App] DEBUG AssetLoader          - Loading from disk: /assets/ui/css/fxgl_dark.css
21:38:53.966 [JavaFX App] DEBUG FXGLDisplay          - App size > screen size
21:38:53.970 [JavaFX App] DEBUG FXGLDisplay          - Target size: DoubleProperty [value: 900.0] x DoubleProperty [value: 900.0] @ 1.0
21:38:53.970 [JavaFX App] DEBUG FXGLDisplay          - New size:    728.0 x 728.0 @ DoubleProperty [value: 0.8088888888888889]
21:38:53.970 [JavaFX App] DEBUG FXGLDisplay          - Service [Display] initialized
21:38:53.971 [JavaFX App] DEBUG FXGLDisplay          - Using CSS: CSS(externalForm=jar:file:/C:/Users/Nilay/Documents/Computer%20Science/Projects/Brekout/lib/FXGL-0.2.5-uber.jar!/assets/ui/css/fxgl_dark.css)
21:38:53.974 [JavaFX App] DEBUG FXGLInput            - Service [Input] initialized
21:38:53.976 [JavaFX App] DEBUG FXGLInput            - Registered new binding: Screenshot - P
