11:04:15.490 [JavaFX App] DEBUG FXGLLoggerFactory    - Service [LoggerFactory] initialized
11:04:15.506 [JavaFX App] INFO  FXGL                 - FXGL configuration complete
11:04:15.506 [JavaFX App] DEBUG FXGL                 - Loading FXGL system data
11:04:15.512 [JavaFX App] DEBUG IOTask               - Executing task: readDataTask(system/fxgl.bundle)
11:04:15.515 [JavaFX App] DEBUG FS                   - Reading from: system\fxgl.bundle
11:04:15.520 [JavaFX App] DEBUG IOTask               - Task succeeded: readDataTask(system/fxgl.bundle)
11:04:15.521 [JavaFX App] DEBUG Bundle               - Logging bundle: FXGL
11:04:15.522 [JavaFX App] DEBUG Bundle               - FXGL.version.check=2016-08-08
11:04:15.524 [JavaFX App] DEBUG GameApplication      - Starting Game Application
11:04:15.529 [JavaFX App] DEBUG FXGLEventBus         - Service [EventBus] initialized
11:04:15.534 [JavaFX App] DEBUG FXGLExecutor         - Service [Executor] initialized
11:04:15.544 [JavaFX App] DEBUG GameWorld            - Game world initialized
11:04:15.641 [JavaFX App] DEBUG PhysicsWorld         - Physics world initialized
11:04:15.666 [JavaFX App] DEBUG GameScene            - Game scene initialized: 640.0x700.0
11:04:15.701 [JavaFX App] DEBUG AssetLoader          - Service [AssetLoader] initialized
11:04:15.703 [JavaFX App] DEBUG AssetLoader          - Loading from disk: /assets/sounds/system/notification.wav
11:04:15.726 [JavaFX App] DEBUG AssetLoader          - Loading from disk: /assets/sounds/menu/select.wav
11:04:15.729 [JavaFX App] DEBUG AssetLoader          - Loading from disk: /assets/sounds/menu/back.wav
11:04:15.732 [JavaFX App] DEBUG AssetLoader          - Loading from disk: /assets/sounds/menu/press.wav
11:04:15.735 [JavaFX App] DEBUG AssetLoader          - Loading from disk: /assets/ui/fonts/Copperplate_Gothic_Light_Regular.ttf
11:04:15.795 [JavaFX App] DEBUG AssetLoader          - Loading from disk: /assets/ui/css/fxgl.css
11:04:15.796 [JavaFX App] DEBUG AssetLoader          - Loading from disk: /assets/ui/icons/fxgl_icon.png
11:04:15.838 [JavaFX App] DEBUG AssetLoader          - Loading from disk: /assets/ui/css/fxgl_dark.css
11:04:15.856 [JavaFX App] DEBUG FXGLDisplay          - Target size: DoubleProperty [value: 640.0] x DoubleProperty [value: 700.0] @ 1.0
11:04:15.857 [JavaFX App] DEBUG FXGLDisplay          - New size:    640.0 x 700.0 @ DoubleProperty [value: 1.0]
11:04:15.858 [JavaFX App] DEBUG FXGLDisplay          - Service [Display] initialized
11:04:15.859 [JavaFX App] DEBUG FXGLDisplay          - Using CSS: CSS(externalForm=jar:file:/H:/My%20Documents/Game%20Design/Projects/Breakout/lib/FXGL-0.2.5-uber.jar!/assets/ui/css/fxgl_dark.css)
11:04:15.864 [JavaFX App] DEBUG FXGLInput            - Service [Input] initialized
11:04:15.866 [JavaFX App] DEBUG FXGLInput            - Registered new binding: Screenshot - P
11:04:15.867 [JavaFX App] DEBUG FXGLInput            - Registered new binding: Developer Options - CTRL+0
11:04:15.869 [JavaFX App] DEBUG GameApplication      - Initializing global event handlers
11:04:15.884 [JavaFX App] DEBUG FXGLMasterTimer      - Service [MasterTimer] initialized
11:04:15.896 [JavaFX App] DEBUG FXGLEventBus         - Firing event: SaveEvent
11:04:15.897 [JavaFX App] DEBUG FXGLInput            - Saving data to profile
11:04:15.898 [JavaFX App] DEBUG Bundle               - Logging bundle: input
11:04:15.898 [JavaFX App] DEBUG Bundle               - input.Screenshot=P
11:04:15.899 [JavaFX App] DEBUG Bundle               - input.Developer Options=CTRL+0
11:04:15.899 [JavaFX App] DEBUG FXGLDisplay          - Saving data to profile
11:04:15.900 [JavaFX App] DEBUG Bundle               - Logging bundle: scene
11:04:15.900 [JavaFX App] DEBUG Bundle               - scene.sizeW=640.0
11:04:15.901 [JavaFX App] DEBUG Bundle               - scene.sizeH=700.0
11:04:15.902 [JavaFX App] DEBUG FXGLAudioPlayer      - Service [AudioPlayer] initialized
11:04:15.903 [JavaFX App] DEBUG FXGLAudioPlayer      - Saving data to profile
11:04:15.903 [JavaFX App] DEBUG Bundle               - Logging bundle: audio
11:04:15.904 [JavaFX App] DEBUG Bundle               - audio.musicVolume=0.5
11:04:15.904 [JavaFX App] DEBUG Bundle               - audio.soundVolume=0.5
11:04:15.906 [JavaFX App] DEBUG AchievementManager   - Service [AchievementManager] initialized
11:04:15.906 [JavaFX App] DEBUG AchievementManager   - Saving data to profile
11:04:15.906 [JavaFX App] DEBUG Bundle               - Logging bundle: achievement
11:04:15.907 [JavaFX App] DEBUG FXGLMasterTimer      - Saving data to profile
11:04:15.907 [JavaFX App] DEBUG Bundle               - Logging bundle: timer
11:04:15.908 [JavaFX App] DEBUG Bundle               - timer.playtime=0
11:04:15.908 [JavaFX App] DEBUG GameApplication      - Starting new game
11:04:15.911 [JavaFX App] DEBUG GameApplication      - Initializing App
11:04:15.912 [JavaFX App] DEBUG FXGLEventBus         - Firing event: FXGLEvent[type=PAUSE]
11:04:15.913 [JavaFX App] DEBUG FXGLInput            - Clearing active input actions
11:04:15.914 [JavaFX App] DEBUG FXGLMasterTimer      - Stopping master timer
11:04:15.915 [JavaFX App] DEBUG GameApplication      - State: STARTUP -> PAUSED
11:04:15.917 [JavaFX App] DEBUG FXGLEventBus         - Firing event: FXGLEvent[type=RESET]
11:04:15.917 [JavaFX App] DEBUG GameWorld            - Resetting game world
11:04:15.918 [JavaFX App] TRACE EntityWorld          - Resetting entity world
11:04:15.919 [JavaFX App] DEBUG PhysicsWorld         - Resetting physics world
11:04:15.920 [JavaFX App] DEBUG GameScene            - Resetting game scene
11:04:15.920 [JavaFX App] DEBUG FXGLInput            - Clearing active input actions
11:04:15.921 [JavaFX App] DEBUG FXGLMasterTimer      - Resetting ticks and clearing all actions
11:04:15.940 [JavaFX App] DEBUG GameApplication      - State: PAUSED -> LOADING
11:04:15.971 [JavaFX App] DEBUG GameApplication      - Starting FXGL Init Thread
11:04:15.973 [FXGL Init ] DEBUG InitAppTask          - Initializing Assets
11:04:15.981 [FXGL Init ] DEBUG AssetLoader          - Loading from disk: /assets/textures/ball.png
11:04:15.985 [FXGL Init ] DEBUG AssetLoader          - Loading from disk: /assets/textures/brick.png
11:04:15.988 [FXGL Init ] DEBUG AssetLoader          - Loading from disk: /assets/textures/paddle.png
11:04:16.073 [JavaFX App] DEBUG FXGLDisplay          - Showing stage
11:04:16.075 [JavaFX App] DEBUG FXGLDisplay          - Root size: 640.0x700.0
11:04:16.076 [JavaFX App] DEBUG FXGLDisplay          - Scene size: 640.0x700.0
